Entity,Abbreviation,Aliases,LLM Extraction,TP,FN,FP,TN,Confusion Matrix,,Actual,,,,,,Definition
quantization of task,,,condensed matter physics,0,1,1,0,,,,,,,,,"In physics, chemistry and biology, a phase transition is the physical process of transition between one state of a medium and another. Commonly the term is used to refer to changes among the basic states of matter: solid, liquid, and gas, and in rare cases, plasma. A phase of a thermodynamic system and the states of matter have uniform physical properties. During a phase transition of a given medium, certain properties of the medium change as a result of the change of external conditions, such as temperature or pressure. This can be a discontinuous change; for example, a liquid may become gas upon heating to its boiling point, resulting in an abrupt change in volume. The identification of the external conditions at which a transformation occurs defines the phase transition point."
resource theory,,,Phase Transition,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
random feature,,,Special Function Dataset,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
compositional sparsity,,,tanh function,0,1,1,0,,,,,,,,,"Google DeepMind, trading as Google DeepMind or simply DeepMind, is a British-American artificial intelligence (AI) research laboratory which serves as a subsidiary of Alphabet Inc. Founded in the UK in 2010, it was acquired by Google in 2014 and merged with Google AI's Google Brain division to become Google DeepMind in April 2023. The company is headquartered in London, with research centres in the United States, Canada, France, Germany, and Switzerland."
maximumarity,,,Google Deepmind,0,1,1,0,,,,,,,,,"Self-supervised learning (SSL) is a paradigm in machine learning where a model is trained on a task using the data itself to generate supervisory signals, rather than relying on externally-provided labels. In the context of neural networks, self-supervised learning aims to leverage inherent structures or relationships within the input data to create meaningful training signals. SSL tasks are designed so that solving them requires capturing essential features or relationships in the data. The input data is typically augmented or transformed in a way that creates pairs of related samples, where one sample serves as the input, and the other is used to formulate the supervisory signal. This augmentation can involve introducing noise, cropping, rotation, or other transformations. Self-supervised learning more closely imitates the way humans learn to classify objects."
generalized additive model,GAM,,contrastive learning,0,1,1,0,,,,,,,,,"In mathematics, a Gaussian function, often simply referred to as a Gaussian, is a function of the base form

and with parametric extension

for arbitrary real constants a, b and non-zero c. It is named after the mathematician Carl Friedrich Gauss. The graph of a Gaussian is a characteristic symmetric ""bell curve"" shape. The parameter a is the height of the curve's peak, b is the horizontal position of the center of the peak, and c controls the width of the ""bell""."
graph neural network,,,Gaussian function,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
kernel machine,,,knot dataset,0,1,0,1,,,,,,,,,"In machine learning and optimal control, reinforcement learning (RL) is concerned with how an intelligent agent should take actions in a dynamic environment in order to maximize a reward signal. Reinforcement learning is one of the three basic machine learning paradigms, alongside supervised learning and unsupervised learning."
knob,,,reinforcement learning,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Modified Andre-Aubry Model,MAAM,,smooth 4d Poincaré conjecture,0,1,0,1,,,,,,,,,"A signature is a depiction of someone's name, nickname, or even a simple ""X"" or other mark that a person writes on documents as a proof of identity and intent. Signatures are often, but not always, handwritten or stylized. The writer of a signature is a signatory or signer. A signature may be confused with an autograph, which is chiefly an artistic signature. This can lead to confusion when people have both an autograph and signature and as such some people in the public eye keep their signatures private whilst fully publishing their autograph."
deep learning,,,signature,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
GAAM-KAN,,,meridinal distance,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
quasiperiodicity,,,longitudinal distance,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
generalized Aubry-André model,GAAM,,test accuracy,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Mosaic model,MM,,auto-symbolic regression,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Unsupervised learning,,,Prof. Shi Lab,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Gaussian function,,,Georgia Tech,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Deepmind paper,,,cusp volume,0,1,1,0,,,,,,,,,This is a glossary of some terms used in Riemannian geometry and metric geometry — it doesn't cover the terminology of differential topology.
Taylor series,,,injectivity radius,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Pade representation,,,Unsupervised toy dataset,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Georgia tech,,,Cross-entropy loss,1,0,1,0,,,,,,,,,"In mathematics, a Padé approximant is the ""best"" approximation of a function near a specific point by a rational function of given order. Under this technique, the approximant's power series agrees with the power series of the function it is approximating. The technique was developed around 1890 by Henri Padé, but goes back to Georg Frobenius, who introduced the idea and investigated the features of rational approximations of power series."
Knot dataset,,,Pade approximation,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Supervised learning,,,Inverse participation ratio,1,0,1,0,,,,,,,,,"In geometric measure theory, fractal dimensions enable consistent statistical indexes of complexity in patterns. Since fractal patterns can be scale -variant, measuring space-filling capacity should be possible in non-integer (fractal) dimensions."
Knot Theory,,,Fractal dimension,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
biology,,,Mosaic model,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
topological quantum computing,,,Generalized Aubry-André model,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Jones polynomial,,,Modified Aubry-André model,1,0,1,0,,,,,,,,,"In solid-state physics, the tight-binding model is an approach to the calculation of electronic band structure using an approximate set of wave functions based upon superposition of wave functions for isolated atoms located at each atomic site. The method is closely related to the LCAO method used in chemistry. Tight-binding models are applied to a wide variety of solids. The model gives good qualitative results in many cases and can be combined with other models that give better results where the tight-binding model fails. Though the tight-binding model is a one-electron model, the model also provides a basis for more advanced calculations like the calculation of surface states and application to various kinds of many-body problem and quasiparticle calculations."
reinforcement learning,,,Tight-binding model,1,0,1,0,,,,,,,,,"

In condensed matter physics, Anderson localization is the absence of diffusion of waves in a disordered medium. This phenomenon is named after the American physicist P. W. Anderson, who was the first to suggest that electron localization is possible in a lattice potential, provided that the degree of randomness (disorder) in the lattice is sufficiently large, as can be realized for example in a semiconductor with impurities or defects."
smooth 4d Poincaré conjecture,,,Mobility edge,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
scientific,,,Signature prediction,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
0-function,,,Feature attribution,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
supervised training,,,Gradient saliency,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
feature corruption,,,Low-dimensional Topology,0,1,1,0,,,,,,,,,"A topological quantum computer is a type of quantum computer. It utilizes anyons, a type of quasiparticle that occurs in two-dimensional systems. The anyons' world lines intertwine to form braids in a three-dimensional spacetime. The braids act as the logic gates of the computer. The primary advantage of using quantum braids over trapped quantum particles is in their stability. While small but cumulative perturbations can cause quantum states to decohere and introduce errors in traditional quantum computations, such perturbations do not alter the topological properties of the braids. This stability is akin to the difference between cutting and reattaching a string to form a different braid versus a ball colliding with a wall. It was proposed by Russian-American physicist Alexei Kitaev in 1997."
Google Deepmind team,,,Topological Quantum Computing,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Supervised toy dataset,,,Hyperbolic Volume,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
logarithmic function,,,Jones Polynomial,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
exponential function,,,Metal-Insulator Transition,0,1,1,0,,,,,,,,,"In mathematics, two quantities are in the golden ratio if their ratio is the same as the ratio of their sum to the larger of the two quantities. Expressed algebraically, for quantities ⁠⁠ and ⁠⁠ with ⁠⁠, ⁠⁠ is in a golden ratio to ⁠⁠ if  where the Greek letter phi denotes the golden ratio. The constant ⁠⁠ satisfies the quadratic equation ⁠⁠ and is an irrational number with a value of
1.618033988749....

The golden ratio was called the extreme and mean ratio by Euclid, and the divine proportion by Luca Pacioli; it also goes by other names."
wiggly Bessel function,,,Golden Ratio,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
synthetic,,,Generalized Additive Models,0,1,1,0,,,,,,,,,Graph neural networks (GNNs) are specialized artificial neural networks that are designed for tasks whose inputs are graphs.
Tanh,,,Graph Neural Networks,1,0,1,0,,,,,,,,,"In machine learning, kernel machines are a class of algorithms for pattern analysis, whose best known member is the support-vector machine (SVM). These methods involve using linear classifiers to solve nonlinear problems. The general task of pattern analysis is to find and study general types of relations in datasets. For many algorithms that solve these tasks, the data in raw representation have to be explicitly transformed into feature vector representations via a user-specified feature map: in contrast, kernel methods require only a user-specified kernel, i.e., a similarity function over all pairs of data points computed using inner products. The feature map in kernel machines is infinite dimensional but only requires a finite dimensional matrix from user-input according to the representer theorem. Kernel machines are slow to compute for datasets larger than a couple of thousand examples without parallel processing."
SiLU,,,Kernel Machines,1,0,1,0,,,,,,,,,Mechanistic interpretability is a subfield of research within explainable artificial intelligence that aims to understand the internal workings of neural networks by analyzing the mechanisms present in their computations. The approach seeks to analyze neural networks in a manner similar to how binary computer programs can be reverse-engineered to understand their functions.
Continual Learning,,,Mechanistic Interpretability,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
partial differential equation,,,Learnable Activations,1,0,1,0,,,,,,,,,"A genetic algorithm (GA) is a metaheuristic inspired by the process of natural selection that belongs to the larger class of evolutionary algorithms (EA) in computer science and operations research. Genetic algorithms are commonly used to generate high-quality solutions to optimization and search problems via biologically inspired operators such as selection, crossover, and mutation. Some examples of GA applications include optimizing decision trees for better performance, solving sudoku puzzles, hyperparameter optimization, and causal inference."
pruned KAN,,,Genetic Algorithms,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
complexity,,,quasiperiodic tight-binding models,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Feynman dataset,,,learnable activation networks,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Bessel function,,,Physics-Informed Neural Operators,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Adam,,,Deep Ritz Method,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
LBFGS,,,Fourier Neural Operator,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Toy dataset,,,DeepONet,0,1,0,1,,,,,,,,,"The Navier–Stokes equations describe the motion of viscous fluids. This system of partial differential equations was named after Claude-Louis Navier and George Gabriel Stokes, who developed them over a few decades of progressive work, from 1822 (Navier) to 1842–1850 (Stokes). Siméon Denis Poisson independently achieved the same results."
catastrophic forgetting,,,Navier-Stokes equations,1,0,1,0,,,,,,,,,"Density functional theory (DFT) is a computational quantum mechanical modeling method used in physics, chemistry and materials science to investigate the electronic structure of many-body systems, in particular atoms, molecules, and the condensed phases. Using this theory, the properties of a many-electron system can be determined by using functionals – that is, functions that accept a function as input and output a single real number. In the case of DFT, these are functionals of the spatially dependent electron density. DFT is among the most popular and versatile methods available in condensed-matter physics, computational physics, and computational chemistry."
sparsification,,,density functional theory,1,0,1,0,,,,,,,,,"In numerical analysis, a multigrid method is an algorithm for solving differential equations using a hierarchy of discretizations. They are an example of a class of techniques called multiresolution methods, very useful in problems exhibiting multiple scales of behavior. For example, many basic relaxation methods exhibit different rates of convergence for short- and long-wavelength components, suggesting these different scales be treated differently, as in a Fourier analysis approach to multigrid. MG methods can be used as solvers as well as preconditioners."
,,,multigrid methods,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,multiscale methods,,,1,0,,,,,,,,,"In mathematics a radial basis function (RBF) is a real-valued function  whose value depends only on the distance between the input and some fixed point, either the origin, so that , or some other fixed point , called a center, so that . Any function  that satisfies the property  is a radial function. The distance is usually Euclidean distance, although other metrics are sometimes used. They are often used as a collection  which forms a basis for some function space of interest, hence the name."
,,,radial basis functions,,,1,0,,,,,,,,,"

A neural network is a group of interconnected units called neurons that send signals to one another. Neurons can be either biological cells or mathematical models. While individual neurons are simple, many of them together in a network can perform complex tasks. There are two main types of neural networks.In neuroscience, a biological neural network is a physical structure found in brains and complex nervous systems – a population of nerve cells connected by synapses.
In machine learning, an artificial neural network is a mathematical model used to approximate nonlinear functions. Artificial neural networks are used to solve artificial intelligence problems."
,,,neural networks,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,Kolmogorov network,,,1,0,,,,,,,,,"Eureka often refers to:Eureka (word), a famous exclamation attributed to Archimedes
Eureka effect, the sudden, unexpected realization of the solution to a problem"
,,,Eureka,,,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
,,,GPLearn,,,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,PySR,,,0,1,,,,,,,,,"EQL may refer to:Air São Tomé and Príncipe, a defunct airline
Earthquake light, a reportedly luminous aerial phenomenon
Energy Queensland Limited, owner of Ergon Energy, Australia
Ecosystem Qualified Lead"
,,,EQL,,,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,OccamNet,,,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,AI Feynman,,,0,1,,,,,,,,,"In mathematics, a partial differential equation (PDE) is an equation which involves a multivariable function and one or more of its partial derivatives."
,,,PDEs,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
,,,operator learning,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,detecting whether a knot is the unknot,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,ribbon knot detection,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,predicting knot invariants,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,spline activation functions,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,Adaptive grid strategies,,,1,0,,,,,,,,,"
A large language model (LLM) is a neural network trained on a vast amount of text for natural language processing tasks, especially language generation. LLMs can generate, summarize, translate and parse text in many contexts, and are a foundational technology behind modern chatbots. Biased or inaccurate training data can make an LLM's output less reliable."
,,,Large Language Models,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,SIREN,,,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,Spline Functions,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,Implicit Neural Representations,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,Peak Signal-to-Noise Ratio,,,1,0,,,,,,,,,"Peak signal-to-noise ratio (PSNR) is an engineering term for the ratio between the maximum possible power of a signal and the power of corrupting noise that affects the fidelity of its representation. Because many signals have a very wide dynamic range, PSNR is usually expressed as a logarithmic quantity using the decibel scale."
,,,PSNR,,,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
,,,test RMSE,,,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,special function fitting,,,1,0,,,,,,,,,