Entity,Abbreviation,Aliases,LLM Extraction,TP,FN,FP,TN,Confusion Matrix,,Actual,,,,Actual Labels,Predicted Labels,,,Accuracy,,Definition
emrKBQA,,,synthea,0,1,0,1,,,,,,,Scientific Domain/Problem,Software/Library/Tool,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
EHRSQL,,,multi hop reasoning,0,1,1,0,,,,,,,Mathematical Concept/Theorem,Learning Paradigm/Task,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
EHRNoteQA,,,Systematized Nomenclature of Medicine – Clinical Terms,0,1,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
MedAlign,,,RxNorm,0,1,0,1,,,,,,,Mathematical Concept/Theorem,Dataset/Benchmark,No,,,,RxNorm is US-specific terminology in medicine that contains all medications available on the US market. It can also be used in personal health records applications. RxNorm is part of Unified Medical Language System (UMLS) terminology and is maintained by the United States National Library of Medicine (NLM).
EHRQA,,,Logical Observation Identifiers Names and Codes,1,0,1,0,,,,,,,Mathematical Concept/Theorem,Dataset/Benchmark,No,,,,"Logical Observation Identifiers Names and Codes (LOINC) is a database and universal standard for identifying medical laboratory observations. First developed in 1994, it was created and is maintained by the Regenstrief Institute, a US nonprofit medical research organization. LOINC was created in response to the demand for an electronic clinical care and management database and is publicly available at no cost."
FHIR,,,programmatic reasoning,0,1,1,0,,,,,,,Algorithm/Technique,Algorithm/Technique,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Synthea,,,regex matching,1,0,0,1,,,,,,,Algorithm/Technique,Algorithm/Technique,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
SNOMED,,,Medical Generative Model for Medical Applications (brand name) 27 Billion Parameters text only rl,0,1,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
RxNorm,,,logistic regression,1,0,0,1,,,,,,,Algorithm/Technique,Algorithm/Technique,Yes,,,,"In statistics, a logistic model is a statistical model that models the log-odds of an event as a linear combination of one or more independent variables. In regression analysis, logistic regression estimates the parameters of a logistic model. In binary logistic regression there is a single binary dependent variable, coded by an indicator variable, where the two values are labeled ""0"" and ""1"", while the independent variables can each be a binary variable or a continuous variable. The corresponding probability of the value labeled ""1"" can vary between 0 and 1, hence the labeling; the function that converts log-odds to probability is the logistic function, hence the name. The unit of measurement for the log-odds scale is called a logit, from logistic unit, hence the alternative names. See § Background and § Definition for formal mathematics, and § Example for a worked example."
LOINC,,,us derm Multiple Choice Question Answer,0,1,1,0,,,,,,,Learning Paradigm/Task,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Regex matching,,,whole slide images,1,0,1,0,,,,,,,Algorithm/Technique,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Zero-shot classification,,,text prompts,1,0,1,0,,,,,,,Physics/Math Object,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Logistic regression,,,cosine similarity,1,0,1,0,,,,,,,Learning Paradigm/Task,Metric/Evaluation,No,,,,"In data analysis, cosine similarity is a measure of similarity between two non-zero vectors defined in an inner product space. Cosine similarity is the cosine of the angle between the vectors; that is, it is the dot product of the vectors divided by the product of their lengths. It follows that the cosine similarity does not depend on the magnitudes of the vectors, but only on their angle. The cosine similarity always belongs to the interval  For example, two proportional vectors have a cosine similarity of +1, two orthogonal vectors have a similarity of 0, and two opposite vectors have a similarity of −1. In some contexts, the component values of the vectors cannot be negative, in which case the cosine similarity is bounded in ."
ELIXR,,,softmax,0,1,1,0,,,,,,,Mathematical Concept/Theorem,Mathematical Concept/Theorem,Yes,,,,"The softmax function, also known as softargmax or normalized exponential function, converts a tuple of K real numbers into a probability distribution over K possible outcomes. It is a generalization of the logistic function to multiple dimensions, and is used in multinomial logistic regression. The softmax function is often used as the last activation function of a neural network to normalize the output of a network to a probability distribution over predicted output classes."
Area under receiver operating characteristic curve,AUC,,auc,0,1,0,1,,,,,,,Metric/Evaluation,Metric/Evaluation,Yes,,,,"AUC may refer to:Ab urbe condita or Anno urbis conditae, Latin for ""from the founding of the city"", used for dates
African Union Commission, the executive/administrative branch or secretariat of the supranational organisation
Ammonium uranyl carbonate, a chemical compound used in uranium processing
Appropriate use criteria for a medical procedure or service
Archimedean Upper Conservatory, a highly ranked charter high school in Miami, Florida
Area under the curve, a performance measure for binary classifiers
Area under the curve (pharmacokinetics), regarding plasma drug concentration-time curves
Authentication Center in a GSM mobile phone network
United Self-Defense Forces of Colombia, former Colombian paramilitary and drugs group
Santiago Pérez Quiroz Airport, Arauca, Colombia, IATA code
Analytical ultracentrifugation, Physical and biophysical chemistry instrument
a codon for the amino acid isoleucine"
SAGA solver,,,receiver operating characteristic curve,0,1,1,0,,,,,,,Metric/Evaluation,Metric/Evaluation,Yes,,,,"A receiver operating characteristic curve, or ROC curve, is a graphical plot that illustrates the performance of a binary classifier model at varying threshold values. ROC analysis is commonly applied in the assessment of diagnostic test performance in clinical epidemiology."
Health AI Developer Foundation,HAI-DEF,,1 vs all auc,0,1,0,1,,,,,,,Metric/Evaluation,Metric/Evaluation,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Skin Conditions,,,multiclass conditions,1,0,1,0,,,,,,,Metric/Evaluation,Metric/Evaluation,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Diabetic Retinopathy,,,linear probe,1,0,0,1,,,,,,,Algorithm/Technique,Algorithm/Technique,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Invasive Breast Cancer,,,text encoder,1,0,1,0,,,,,,,Algorithm/Technique,Algorithm/Technique,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Breast NP,,,Stochastic Average Gradient Algorithm solver,1,0,1,0,,,,,,,Optimization/Training Method,Optimization/Training Method,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Breast TF,,,hai def,1,0,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Cervical Dysplasia,,,hai def derm foundation,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Prostate Cancer Needle Core Biopsy,,,path foundation,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Radical Prostatectomy,,,Chest X‑Ray foundation,1,0,1,0,,,,,,,Model/Architecture,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
TCGA Study Types,,,skin conditions,0,1,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Many skin conditions affect the human integumentary system—the organ system covering the entire surface of the body and composed of skin, hair, nails, and related muscles and glands. The major function of this system is as a barrier against the external environment. The skin weighs an average of four kilograms, covers an area of two square metres, and is made of three distinct layers: the epidermis, dermis, and subcutaneous tissue. The two main types of human skin are: glabrous skin, the hairless skin on the palms and soles, and hair-bearing skin. Within the latter type, the hairs occur in structures called pilosebaceous units, each with hair follicle, sebaceous gland, and associated arrector pili muscle. In the embryo, the epidermis, hair, and glands form from the ectoderm, which is chemically influenced by the underlying mesoderm that forms the dermis and subcutaneous tissues."
Tissue Types,,,diabetic retinopathy,1,0,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Diabetic retinopathy is a medical condition in which damage occurs to the retina due to diabetes. It is a leading cause of blindness in developed countries and one of the leading causes of sight loss in the world, even though there are many new therapies and improved treatments for helping people living with diabetes."
Linear Probe,,,invasive breast cancer,1,0,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Breast cancer is a cancer that develops from breast tissue. Signs of breast cancer may include: a lump in the breast, a change in breast shape, dimpling of the skin, milk rejection, fluid coming from the nipple, a newly inverted nipple, or a red or scaly patch of skin. In those with distant spread of the disease, there may be bone pain, swollen lymph nodes, shortness of breath, or yellow skin."
Enlarged Cardiomediastinum,,,breast np,1,0,0,1,,,,,,,Scientific Domain/Problem,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Cardiomegaly,,,breast tf,1,0,0,1,,,,,,,Scientific Domain/Problem,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Lung Opacity,,,cervical dysplasia,1,0,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Cervical intraepithelial neoplasia (CIN), also known as cervical dysplasia, is the abnormal growth of cells on the surface of the cervix that could potentially lead to cervical cancer. More specifically, CIN refers to the potentially precancerous transformation of cells of the cervix."
Lung Lesion,,,prostate cancer needle core biopsy,0,1,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Edema,,,radical prostatectomy,1,0,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,Prostatectomy is the surgical removal of all or part of the prostate gland. This operation is done for benign conditions that cause urinary retention as well as for prostate cancer and for other cancers of the pelvis.
Pleural Effusion,,,The Cancer Genome Atlas study types,1,0,1,0,,,,,,,Scientific Domain/Problem,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Pleural Other,,,tissue types,0,1,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Support Devices,,,enlarged cardiomediastinum,0,1,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
general-purpose LLM,,,medical vision language foundation models,0,1,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
text question answering,,,multi domain medical image encoder,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
image classification,,,clinical reasoning,1,0,0,1,,,,,,,Learning Paradigm/Task,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
medical text question answering,,,biomedical knowledge,0,1,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
agentic behavior,,,report generation,0,1,1,0,,,,,,,Learning Paradigm/Task,Learning Paradigm/Task,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
medical agentic behavior,,,fine tuning,0,1,1,0,,,,,,,Optimization/Training Method,Optimization/Training Method,Yes,,,,"Fine-tuning is the process of adapting a model trained for one task to perform a different, usually more specific, task. It is considered a form of transfer learning, as it reuses knowledge learned from the original training objective."
DICOM,,,pre training,0,1,1,0,,,,,,,Optimization/Training Method,Learning Paradigm/Task,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
RadVLM,,,base gemma 3 models,0,1,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
linear probe classification,,,General‑purpose large language model (general model),1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
zero shot classification,,,general Application Programming Interface based models,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
1 vs all auc,,,frozen model,1,0,1,0,,,,,,,Optimization/Training Method,Model/Architecture,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
clinical reasoning,,,agentic settings,1,0,1,0,,,,,,,Optimization/Training Method,Learning Paradigm/Task,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
biomedical knowledge,,,large models,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
,,,multimodal capabilities,,,1,0,,,,,,,Model/Architecture,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,medical image retrieval,,,1,0,,,,,,,Learning Paradigm/Task,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,clinical information,,,1,0,,,,,,,Dataset/Benchmark,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,imaging reports,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,clinical notes,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,matching patients for clinical trials,,,1,0,,,,,,,Learning Paradigm/Task,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,pharmacovigilance reviews,,,1,0,,,,,,,Learning Paradigm/Task,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,The Cancer Genome Atlas research network,,,1,0,,,,,,,Model/Architecture,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,rl tuning,,,1,0,,,,,,,Optimization/Training Method,Optimization/Training Method,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,Medical Generative Model for Medical Applications (brand name) 4b multimodal,,,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,27 Billion Parameters text only,,,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,chest imagenome,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,CheXpert dataset Chest X‑Ray,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,dermmcqa,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,pathmcqa,,,0,1,,,,,,,Dataset/Benchmark,Metric/Evaluation,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,slakevqa,,,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"